item_code,name,hardware_type,brand,series,runner_height,runner_depth,handling_cost,unit_cost,machining_cost,assembly_cost,source_category,product_type,product_id,raw_article_sku,sale_price_aud,rrp_aud,unit,availability,pricing_status,price_scope,review_status,visibility_status,image_url,source_image_url,source_url,captured_at,scraper_item_hash
P-00853715,"Furniture handle, H1325",handle,Hafele,Furniture Handles & Knobs,,,0,7.88,0,0,Furniture Handles & Knobs,handle,P-00853715,P-00853715,7.88,12.12,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00613765.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00613765.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1325/P-00853715/,2026-06-21T02:39:12.871Z,1554e88a2fd47e75d0a928acb116c36628b7fc0e600f3b365d299c52411ab0e2
P-00852736,"Furniture handle, H1330",handle,Hafele,Furniture Handles & Knobs,,,0,12.79,0,0,Furniture Handles & Knobs,handle,P-00852736,P-00852736,12.79,19.68,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00639389.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00639389.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1330/P-00852736/,2026-06-21T02:39:12.871Z,535e6efc2175289ac3c35d8d40e1ea24cb62442ef967c290b07ec123606abf96
P-00853133,"Furniture Handle, H1335",handle,Hafele,Furniture Handles & Knobs,,,0,14.88,0,0,Furniture Handles & Knobs,handle,P-00853133,P-00853133,14.88,22.89,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00624454.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00624454.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1335/P-00853133/,2026-06-21T02:39:12.870Z,ab36accee22a914369333168513670707c3d328eb8a2004c7ee45d6054d26e6f
P-00853469,"Furniture Handle, H1345",handle,Hafele,Furniture Handles & Knobs,,,0,8.55,0,0,Furniture Handles & Knobs,handle,P-00853469,P-00853469,8.55,13.15,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00624455.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00624455.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1345/P-00853469/,2026-06-21T02:39:12.870Z,36d7e1b1eda15f842861f9899acff6ca15190ddb2f26d165d11ed1123fa72a5b
P-00852968,"Furniture Handle, H1350",handle,Hafele,Furniture Handles & Knobs,,,0,7.96,0,0,Furniture Handles & Knobs,handle,P-00852968,P-00852968,7.96,12.25,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00647477.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00647477.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1350/P-00852968/,2026-06-21T02:39:12.871Z,cc1e0f443102a6d3c0abfe860497c9e032e34bfd13a4461d32e804f6683ec86a
110.35.281,"Furniture Handle, H1355",handle,Hafele,Furniture Handles & Knobs,,,0,17.17,0,0,Furniture Handles & Knobs,handle,P-00853468,11035281,17.17,26.42,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00594582.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00594582.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1355/P-00853468/,2026-06-21T02:39:12.871Z,057b3e04aaf9fc4209db3dc113300f63ad56b32422b2a670ba80e1db5872ab5e
110.34.696,"Furniture Handle, H1360",handle,Hafele,Furniture Handles & Knobs,,,0,14.34,0,0,Furniture Handles & Knobs,handle,P-00853217,11034696,14.34,22.06,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00553175.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00553175.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1360/P-00853217/,2026-06-21T02:39:12.871Z,3323612e0c22c7e11bf093d702885cdfa1b76f49741002ca6e28c08360804031
106.69.627,"Furniture Handle, H1365",handle,Hafele,Furniture Handles & Knobs,,,0,,0,0,Furniture Handles & Knobs,handle,P-00852404,10669627,,41.52,Piece (PCE),,captured_rrp_buy_price_upon_request,single_article_or_default,needs_price_review,Needs Review,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00628671.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00628671.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1365/P-00852404/,2026-06-21T02:39:12.870Z,e98d9f39221762ec0b53221fa05c6ced6bc22ae2f1b76d72709414ff2632ddc6
106.69.667,"Furniture handle, H1375",handle,Hafele,Furniture Handles & Knobs,,,0,19.13,0,0,Furniture Handles & Knobs,handle,P-00853233,10669667,19.13,29.43,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00634041.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00634041.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1375/P-00853233/,2026-06-21T02:39:12.871Z,bb0cedc226c583a096cb7390e6aabb9a6c6b08cd2588af377b2203ef46ee4da9
P-00852473,"Furniture Handle, H1380",handle,Hafele,Furniture Handles & Knobs,,,0,8.89,0,0,Furniture Handles & Knobs,handle,P-00852473,P-00852473,8.89,13.68,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00644754.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00644754.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1380/P-00852473/,2026-06-21T02:39:12.871Z,a3232648ea5c8ef6e69a06fd701d665829ea53c066967d5c1c0764a7ed56f2e4
P-00853388,"Furniture Handle, H1385",handle,Hafele,Furniture Handles & Knobs,,,0,6.32,0,0,Furniture Handles & Knobs,handle,P-00853388,P-00853388,6.32,9.72,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00613763.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00613763.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1385/P-00853388/,2026-06-21T02:39:12.871Z,e37e1ba5ade7c59e38d922f43c7c73576afaab01e8b29d5001c797ab6b6cffff
P-00853319,"Furniture handle, H1390",handle,Hafele,Furniture Handles & Knobs,,,0,16.62,0,0,Furniture Handles & Knobs,handle,P-00853319,P-00853319,16.62,25.58,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00616352.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00616352.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1390/P-00853319/,2026-06-21T02:39:12.871Z,5b5a9298246e08b2f72e04fd977cf907ed239db3228dda2b30ba00d704ad149b
P-00852820,"Furniture handle, H1395",handle,Hafele,Furniture Handles & Knobs,,,0,21.63,0,0,Furniture Handles & Knobs,handle,P-00852820,P-00852820,21.63,33.27,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00621743.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00621743.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1395/P-00852820/,2026-06-21T02:39:12.871Z,2c1583b957bd93c67515e8da903d69dae3970feee28a71d32c3ca02c9e62d550
P-00853486,"Furniture Handle, H1510",handle,Hafele,Furniture Handles & Knobs,,,0,10.54,0,0,Furniture Handles & Knobs,handle,P-00853486,P-00853486,10.54,16.21,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00604497.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00604497.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1510/P-00853486/,2026-06-21T02:39:12.870Z,4599ff6f3b5ff0bcd73ba0bce9d85b0a51fd2406a742b4bd777281a4462efa64
P-00852572,"Furniture Handle, H1515",handle,Hafele,Furniture Handles & Knobs,,,0,12.74,0,0,Furniture Handles & Knobs,handle,P-00852572,P-00852572,12.74,19.59,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00624944.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00624944.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1515/P-00852572/,2026-06-21T02:39:12.871Z,84ebc25a9f152f08f096522c217397a56d8b6e9f0f426271916266ccfbafebb8
P-00852405,"Furniture handle, H1520",handle,Hafele,Furniture Handles & Knobs,,,0,30.12,0,0,Furniture Handles & Knobs,handle,P-00852405,P-00852405,30.12,46.34,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00645213.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00645213.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1520/P-00852405/,2026-06-21T02:39:12.870Z,b40ff0e028fb2ac51bfb5cfacbfa83ab372cbd4a48809d45a8306c4076c19da4
106.61.254,"Furniture handle, H1525",handle,Hafele,Furniture Handles & Knobs,,,0,27.37,0,0,Furniture Handles & Knobs,handle,P-00852903,10661254,27.37,42.11,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00634517.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00634517.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1525/P-00852903/,2026-06-21T02:39:12.871Z,392459eac8092abcc6b52d60579ade51bcbfbf7cc61114193a8cfbe1ab5185c4
P-00853402,"Furniture Handle, H1530",handle,Hafele,Furniture Handles & Knobs,,,0,7.13,0,0,Furniture Handles & Knobs,handle,P-00853402,P-00853402,7.13,10.97,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00616833.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00616833.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1530/P-00853402/,2026-06-21T02:39:12.870Z,85508c010aa85da15403863227fe7557bb9252d43593c8b71bc9efd41f3fc426
P-00852738,"Furniture Handle, H1555",handle,Hafele,Furniture Handles & Knobs,,,0,41.73,0,0,Furniture Handles & Knobs,handle,P-00852738,P-00852738,41.73,64.2,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00647945.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00647945.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1555/P-00852738/,2026-06-21T02:39:12.871Z,6a4ef57213db72c371d6624acaeee2df0209293f73407ae9ba04e5e68980939e
106.60.218,"Furniture Handle, H1560",handle,Hafele,Furniture Handles & Knobs,,,0,32,0,0,Furniture Handles & Knobs,handle,P-00853651,10660218,32,49.23,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00556223.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00556223.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1560/P-00853651/,2026-06-21T02:39:12.871Z,91c06116c9bba251f05f0e265d3e63075880187834893e51cebd1629f9993824
P-00852985,"Furniture Handle, H1565",handle,Hafele,Furniture Handles & Knobs,,,0,6.72,0,0,Furniture Handles & Knobs,handle,P-00852985,P-00852985,6.72,10.33,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00639879.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00639879.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1565/P-00852985/,2026-06-21T02:39:12.870Z,d1adfb1bef6e09082530a9adad634c53842f87285a1335ae70f783502f9fcea1
P-00852490,"Furniture Handle, H1570",handle,Hafele,Furniture Handles & Knobs,,,0,9.91,0,0,Furniture Handles & Knobs,handle,P-00852490,P-00852490,9.91,15.24,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00577370.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00577370.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1570/P-00852490/,2026-06-21T02:39:12.870Z,2a8ce70db9563232caa268bb076b28d10913f9c5ef954edb8870278b09eda5c4
106.62.906,"Furniture handle, H1710",handle,Hafele,Furniture Handles & Knobs,,,0,8.51,0,0,Furniture Handles & Knobs,handle,P-00852821,10662906,8.51,13.09,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00554332.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00554332.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1710/P-00852821/,2026-06-21T02:39:12.871Z,e8f421b386272ca7c43b13fdede23a0507c24f14005f286d3ffdb3552521a37d
P-00853731,"Furniture handle, H1715",handle,Hafele,Furniture Handles & Knobs,,,0,4.67,0,0,Furniture Handles & Knobs,handle,P-00853731,P-00853731,4.67,7.19,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00643249.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00643249.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1715/P-00853731/,2026-06-21T02:39:12.871Z,c2529af1aeddfd74cc0c7dbbcb188758ab34d27a9e97f765c1668e1f10042e50
106.65.066,"Furniture Handle, H1730",handle,Hafele,Furniture Handles & Knobs,,,0,32.75,0,0,Furniture Handles & Knobs,handle,P-00852489,10665066,32.75,50.39,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00632605.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00632605.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1730/P-00852489/,2026-06-21T02:39:12.871Z,f54ca601278cf3cc39c4fd9db85442bf79f0f106fce5cc248cea94f30764740a
P-00853234,"Furniture Handle, H1735",handle,Hafele,Furniture Handles & Knobs,,,0,5.73,0,0,Furniture Handles & Knobs,handle,P-00853234,P-00853234,5.73,8.82,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00635304.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00635304.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1735/P-00853234/,2026-06-21T02:39:12.870Z,d979af5d69452e741cc3dfc609df0f0c42053041a0ce2d64498060724c3c283f
106.62.636,"Furniture Handle, H1740",handle,Hafele,Furniture Handles & Knobs,,,0,14.65,0,0,Furniture Handles & Knobs,handle,P-00852737,10662636,14.65,22.54,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00648699.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00648699.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1740/P-00852737/,2026-06-21T02:39:12.871Z,de1d53a61fed935c7c074b959b2637f72b4d9a4466db93665f1f675f37dfe1e1
106.62.386,"Furniture Handle, H1765",handle,Hafele,Furniture Handles & Knobs,,,0,12.9,0,0,Furniture Handles & Knobs,handle,P-00853067,10662386,12.9,19.84,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00614959.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00614959.jpg,https://www.hafele.com.au/en/product/furniture-handle-h1765/P-00853067/,2026-06-21T02:39:12.871Z,f7d7e6a325f9c66436de311e381612661503dcb6322c80771f37d62267893985
P-01298100,"Furniture handle, Häfele Déco H1910, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,9.06,0,0,Furniture Handles & Knobs,handle,P-01298100,P-01298100,9.06,13.94,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04386657.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04386657.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1910-zinc-alloy/P-01298100/,2026-06-21T02:39:12.871Z,dd95441a38e5913b3fcbafa4d0c17ea5c6bd31175d271a9e576dec915130abfa
P-01298108,"Furniture handle, Häfele Déco H1920, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,6.76,0,0,Furniture Handles & Knobs,handle,P-01298108,P-01298108,6.76,10.4,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04430738.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04430738.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1920-zinc-alloy/P-01298108/,2026-06-21T02:39:12.870Z,418f503a994d68be9e8270aed9e9e32e680ba026ddd4d1d0cecf2a5113bdfb55
P-01298101,"Furniture handle, Häfele Déco H1925, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,11.74,0,0,Furniture Handles & Knobs,handle,P-01298101,P-01298101,11.74,18.06,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04338028.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04338028.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1925-zinc-alloy/P-01298101/,2026-06-21T02:39:12.870Z,8f18be3f7e2143db17a4e22fdf9e81ed13bb6c335464b3f2397dbc6b32006e33
P-01298106,"Furniture handle, Häfele Déco H1930, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,11.92,0,0,Furniture Handles & Knobs,handle,P-01298106,P-01298106,11.92,18.34,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04358131.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04358131.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1930-zinc-alloy/P-01298106/,2026-06-21T02:39:12.871Z,50858ee3b9894ac7565e4e3e939317ae2550729a6ed5e40cd37aa389425f8e57
P-01298099,"Furniture handle, Häfele Déco H1935, aluminium",handle,Hafele,Furniture Handles & Knobs,,,0,11.8,0,0,Furniture Handles & Knobs,handle,P-01298099,P-01298099,11.8,18.16,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04350059.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04350059.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1935-aluminium/P-01298099/,2026-06-21T02:39:12.871Z,fdacfe4b73bc6832ae8ace93a3584f66eb4d9a0b9eeb742aba8da0b3eaf78de7
P-01298111,"Furniture handle, Häfele Déco H1950, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,5.19,0,0,Furniture Handles & Knobs,handle,P-01298111,P-01298111,5.19,7.99,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04366234.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04366234.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1950-zinc-alloy/P-01298111/,2026-06-21T02:39:12.870Z,ee7d156718858eac2b7db82b75de761740016495cf4e0895de32712acb9dde37
P-01298110,"Furniture handle, Häfele Déco H1965, aluminium",handle,Hafele,Furniture Handles & Knobs,,,0,13.44,0,0,Furniture Handles & Knobs,handle,P-01298110,P-01298110,13.44,20.68,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04346033.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04346033.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1965-aluminium/P-01298110/,2026-06-21T02:39:12.870Z,319455eb7d3aa3d0216c732e550108f28a1d5f455075a94edd15d2aa9e17918b
P-01298112,"Furniture handle, Häfele Déco H1970, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,13.42,0,0,Furniture Handles & Knobs,handle,P-01298112,P-01298112,13.42,20.64,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04362203.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04362203.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1970-zinc-alloy/P-01298112/,2026-06-21T02:39:12.871Z,4247a1c0f65bc01112261768bc7afef5092fa74f22e2aa072f5cdcb867f69959
P-01298105,"Furniture handle, Häfele Déco H1975, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,3.19,0,0,Furniture Handles & Knobs,handle,P-01298105,P-01298105,3.19,4.91,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04430736.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04430736.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h1975-zinc-alloy/P-01298105/,2026-06-21T02:39:12.871Z,a75d69daec4009ee866a4634ea2d921f257ef744b3ec9ca8540ee9a310664a2f
P-01496362,"Furniture handle, Häfele Déco H2135, zinc alloy",handle,Hafele,Furniture Handles & Knobs,,,0,7.69,0,0,Furniture Handles & Knobs,handle,P-01496362,P-01496362,7.69,11.83,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04520075.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04520075.jpg,https://www.hafele.com.au/en/product/furniture-handle-haefele-d-co-h2135-zinc-alloy/P-01496362/,2026-06-21T02:39:12.870Z,8e90bd21bade26bbcf4624fbdf93ed40c842eb81a75b3d90832f280562946d9a
